iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J1_SUPPLY,J1_DEMAND,J2_LEVEL,J2_SUPPLY,J2_DEMAND,J3_LEVEL,J3_SUPPLY,J3_DEMAND,J4_LEVEL,J4_SUPPLY,J4_DEMAND,J5_LEVEL,J5_SUPPLY,J5_DEMAND,J6_LEVEL,J6_SUPPLY,J6_DEMAND,J7_LEVEL,J7_SUPPLY,J7_DEMAND,J8_LEVEL,J8_SUPPLY,J8_DEMAND,J9_LEVEL,J9_SUPPLY,J9_DEMAND,J10_LEVEL,J10_SUPPLY,J10_DEMAND,J11_LEVEL,J11_SUPPLY,J11_DEMAND,J12_LEVEL,J12_SUPPLY,J12_DEMAND,J13_LEVEL,J13_SUPPLY,J13_DEMAND,J14_LEVEL,J14_SUPPLY,J14_DEMAND,J15_LEVEL,J15_SUPPLY,J15_DEMAND,J16_LEVEL,J16_SUPPLY,J16_DEMAND,J17_LEVEL,J17_SUPPLY,J17_DEMAND,J18_LEVEL,J18_SUPPLY,J18_DEMAND,J19_LEVEL,J19_SUPPLY,J19_DEMAND,J20_LEVEL,J20_SUPPLY,J20_DEMAND,J21_LEVEL,J21_SUPPLY,J21_DEMAND,J22_LEVEL,J22_SUPPLY,J22_DEMAND,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS,attack1,attack2,attack3,attack4
1,2021-11-25 11:33:37.097462,3.9364067609512188,3.693626480602375,86.17799150996721,5.482438718268434,5.482217386757458,60.80444946504093,2.193023337809386,2.192886867810093,59.39306661067239,2.1930186174561,2.192886867810093,58.06446691473957,6.578788054411778,6.578660748251762,47.933826995559095,6.578754172606221,6.578660748251762,47.272099439390274,6.578751959466225,6.578660748251762,47.169025857100486,6.578751614737848,6.578660748251762,47.1548147157276,4.385864506303448,4.385773687346357,33.91436923810927,4.38582022378993,4.385773687346357,33.565308928202334,4.385819056361847,4.385773687346357,34.04788549262393,4.385820670333468,4.385773687346357,57.85346944518557,5.48234398723893,5.482217386757458,60.983745644543475,5.4823544564107065,5.482217386757458,54.6202988345954,5.4823331739380095,5.482217386757458,56.400739451600245,5.482339128600625,5.482217386757458,35.077128849753315,4.385824112625718,4.385773687346357,33.161514703384206,10.96447884031922,10.964434821788746,57.1488094340349,5.482341630511845,5.482217386757458,56.69854788892939,10.964557559648712,10.964434821788746,86.18760583187552,0.0,0.0,54.348715830045485,0.0,0.0,33.01150014557804,0.0,0.0,410.39676016894674,1.0,410.39676016894674,1.0,0,0,0,0
2,2021-11-25 11:33:53.216045,4.792214437619807,4.335267972668307,86.2166443439371,5.48243884754238,5.482217386757458,61.38698271116428,2.1930252860849477,2.192886867810093,60.0069244246403,2.193020670496308,2.192886867810093,58.70878510734497,6.578790209326363,6.578660748251762,48.5947735151159,6.57875638313405,6.578660748251762,47.946869940900434,6.578754216228198,6.578660748251762,47.84632877276185,6.578753879969449,6.578660748251762,47.83312422980704,4.385866774901606,4.385773687346357,34.56635679197097,4.385822404354604,4.385773687346357,34.20636593160162,4.385821200369423,4.385773687346357,34.674224420077245,4.385822765116612,4.385773687346357,58.42645735418378,5.482345903590224,5.482217386757458,61.55775953556429,5.482356376193385,5.482217386757458,55.48896535962298,5.482336079182943,5.482217386757458,57.09286774748873,5.482341443415535,5.482217386757458,35.760158539195416,4.385826397010447,4.385773687346357,33.80371136784001,10.96448098813838,10.964434821788746,57.79860717460547,5.4823438037527135,5.482217386757458,57.38896394727976,10.964559868737066,10.964434821788746,86.22595123257291,0.0,0.0,55.233956846086585,0.0,0.0,33.65412237057501,0.0,0.0,403.25791520140893,1.0,403.25791520140893,1.0,0,0,0,0
3,2021-11-25 11:33:58.172523,5.515952431754037,4.898621553029401,82.19534009934539,5.4824253983378295,5.482217386757458,60.75922349340341,2.193023186551658,2.192886867810093,59.646782255809555,2.193019466005078,2.192886867810093,58.60839678028101,6.578789873578789,6.578660748251762,48.66995111005412,6.578756634564629,6.578660748251762,48.166229469454855,6.5787549498735505,6.578660748251762,48.09220406071473,6.578754702296445,6.578660748251762,48.087927540196965,4.385867627088269,4.385773687346357,35.00379499510043,4.385823867361508,4.385773687346357,34.718962856708075,4.385822914743786,4.385773687346357,35.083978643779695,4.385824135534774,4.385773687346357,58.33704930843207,5.482345604566071,5.482217386757458,60.89249875293048,5.482354151236556,5.482217386757458,56.27603971876462,5.48233871154384,5.482217386757458,57.34847929993039,5.482342298305353,5.482217386757458,36.0111355750797,4.38582723640018,4.385773687346357,34.412998380386774,10.964483025891596,10.964434821788746,57.889856198173014,5.4823441089339955,5.482217386757458,57.591999626321446,10.964560547787496,10.964434821788746,82.20265780668151,0.0,0.0,56.08908399485887,0.0,0.0,34.295443521259585,0.0,0.0,0.0,0.0,708.313726840222,1.0,0,0,0,0
4,2021-11-25 11:34:04.695537,6.319471078001955,5.535654980996748,86.28853991015497,5.482439087996252,5.482217386757458,62.442279416495175,2.1930288155123145,2.192886867810093,61.12231206168489,2.193024400897086,2.192886867810093,59.882575623227645,6.5787941350548795,6.578660748251762,49.80232753758892,6.5787604217842155,6.578660748251762,49.182411003096554,6.5787583484806875,6.578660748251762,49.08700008526311,6.57875802938,6.578660748251762,49.0757633012827,4.3858709308933035,4.385773687346357,35.77668386812931,4.385826452279216,4.385773687346357,35.40323445860985,4.385825203282076,4.385773687346357,35.84455367316508,4.385826679268977,4.385773687346357,59.49469327608295,5.482349476292648,5.482217386757458,62.59894469794277,5.482359858424863,5.482217386757458,57.0401278089035,5.482341267027433,5.482217386757458,58.355346151125865,5.482345665759645,5.482217386757458,37.01549015855594,4.385830595452222,4.385773687346357,35.006703094151206,10.96448501153,10.964434821788746,58.99299115430966,5.482347798355827,5.482217386757458,58.64948875706626,10.964564084547405,10.964434821788746,86.29728711992625,0.0,0.0,56.813221494894115,0.0,0.0,34.859097607892,0.0,0.0,389.97716102553505,1.0,389.977161025536,1.0,0,0,0,0
5,2021-11-25 11:34:12.585753,7.096585246718907,6.169032128039388,86.32651843877211,5.482439215014993,5.482217386757458,62.98611477018778,2.1930306343632315,2.192886867810093,61.698996439893065,2.193026329611178,2.192886867810093,60.49116861601709,6.578796170486956,6.578660748251762,50.429395575922044,6.578762519005863,6.578660748251762,49.82474474651533,6.578760496758306,6.578660748251762,49.732134440464854,6.578760187024232,6.578660748251762,49.72192891166091,4.385873091986555,4.385773687346357,36.411964861184565,4.3858285769689935,4.385773687346357,36.033972090352485,4.385827312776636,4.385773687346357,36.46156674599724,4.385828742861911,4.385773687346357,60.05664201496511,5.4823513557235675,5.482217386757458,63.13557442544269,5.482361653176649,5.482217386757458,57.82989468431541,5.48234390839342,5.482217386757458,59.01228539087953,5.482347862885173,5.482217386757458,37.665095969895255,4.385832768051186,4.385773687346357,35.64215571527247,10.964487136793785,10.964434821788746,59.61337535504528,5.482349873223459,5.482217386757458,59.301930064618475,10.964566266629651,10.964434821788746,86.33497640774017,0.0,0.0,57.61660398499515,0.0,0.0,35.496115384306385,0.0,0.0,382.9604659917855,1.0,382.96046599178646,1.0,0,0,0,0
6,2021-11-25 11:34:20.103007,7.8483481155307375,6.797902976920296,86.36423586217767,5.48243934116047,5.482217386757458,63.516794731575736,2.1930324092160944,2.192886867810093,62.26294847071064,2.193028215742084,2.192886867810093,61.087426848644185,6.578798164665573,6.578660748251762,51.0445143145969,6.57876457626322,6.578660748251762,50.45541086096895,6.578762606013678,6.578660748251762,50.36565486673708,6.578762305825815,6.578660748251762,50.35646705903458,4.385875214191895,4.385773687346357,37.04026327210997,4.385830678305608,4.385773687346357,36.65966383122615,4.385829405395273,4.385773687346357,37.073805670292856,4.385830790487763,4.385773687346357,60.613265302054366,5.482353217343577,5.482217386757458,63.659333903292854,5.482363404884036,5.482217386757458,58.59417485390826,5.482346464519421,5.482217386757458,59.657209706950646,5.4823500198269315,5.482217386757458,38.301397693151024,4.385834896154783,4.385773687346357,36.27359521847765,10.964489248635747,10.964434821788746,60.2224335494691,5.4823519102113965,5.482217386757458,59.94062058959618,10.964568402722568,10.964434821788746,86.37241098021003,0.0,0.0,58.39359108441384,0.0,0.0,36.12947334675661,0.0,0.0,375.9911918564745,1.0,375.9911918564754,1.0,0,0,0,0
7,2021-11-25 11:34:26.750288,8.506764389364502,7.392247920222014,82.95733445358957,3.6691037844001935,3.668893224338704,63.151793310579755,1.4677015522467547,1.4675572315836944,62.18586330715279,1.4676983217052668,1.4675572315836944,61.2665826576519,4.402809807269026,4.402671791670728,51.438641269052965,4.40277693783513,4.402671791670728,50.9415235060124,4.402775275230644,4.402671791670728,50.85913088043845,4.4027749996694805,4.402671791670728,50.835982642720296,2.9352175614405844,2.9351144308608403,37.642840789131775,2.9351734371334794,2.9351144308608403,37.26039654608945,2.9351721580532257,2.9351144308608403,37.594164165396116,2.9351732743350865,2.9351144308608403,60.715083815682654,3.669029395455638,3.668893224338704,63.254919048699605,3.669037889904577,3.668893224338704,59.30182957761374,3.669024668843531,3.668893224338704,60.112571681434446,3.669027380360922,3.668893224338704,38.73925605381148,2.9351771040813825,2.9351144308608403,36.88801269204654,7.337842962742941,7.337786480983957,60.51105705900518,3.6690287130905603,3.668893224338704,60.33700397099651,7.337921387617317,7.337786480983957,82.96369621349625,0.0,0.0,59.1449172389177,0.0,0.0,36.758201092911634,0.0,0.0,0.0,0.0,656.7461094954044,1.0,0,0,0,0
8,2021-11-25 11:34:33.643426,9.147139863697078,7.981157368686116,83.11927117975233,3.669104325995661,3.668893224338704,63.650889820719,1.4677032214691381,1.4675572315836944,62.70947586766565,1.4677000729212912,1.4675572315836944,61.81415550977637,4.402811638619963,4.402671791670728,52.00054109549448,4.4027788171024635,4.402671791670728,51.5157832543051,4.402777195835589,4.402671791670728,51.43565263580286,4.402776927839682,4.402671791670728,51.413757815378474,2.9352194938028253,2.9351144308608403,38.22588025130864,2.9351753871020745,2.9351144308608403,37.84576122397063,2.9351741157984774,2.9351144308608403,38.17015440597079,2.935175200727643,2.9351144308608403,61.24925685535631,3.6690311819910604,3.668893224338704,63.749664024589876,3.6690395445733057,3.668893224338704,59.952297648097584,3.6690268443263103,3.668893224338704,60.695831627527554,3.6690293310669224,3.668893224338704,39.31625106693953,2.9351790338343893,2.9351144308608403,37.480145659578994,7.337844943124656,7.337786480983957,61.07135647293644,3.669030587005333,3.668893224338704,60.913655867748965,7.337923316222775,7.337786480983957,83.12543772515424,0.0,0.0,59.80325481766877,0.0,0.0,37.352524135463185,0.0,0.0,0.0,0.0,645.7865780088653,1.0,0,0,0,0
9,2021-11-25 11:34:42.031720,9.770217191389609,8.564106898756055,83.27969982621642,3.6691048625473743,3.668893224338704,64.13953521003104,1.4677048557378711,1.4675572315836944,63.222578170936025,1.467701788985884,1.4675572315836944,62.35115244730799,4.402813434599878,4.402671791670728,52.552051769528255,4.402780661623399,4.402671791670728,52.0797913412475,4.402779082153974,4.402671791670728,52.001947478965874,4.402778821806096,4.402671791670728,51.98130309780122,2.9352213919513193,2.9351144308608403,38.80147031620259,2.9351773121562483,2.9351144308608403,38.424902879685604,2.9351760527309043,2.9351144308608403,38.74007614877931,2.9351771068241805,2.9351144308608403,61.77707149666897,3.6690329472608942,3.668893224338704,64.23420017431432,3.6690411650987356,3.668893224338704,60.585229146314184,3.6690289611582307,3.668893224338704,61.268048015701936,3.6690312448378744,3.668893224338704,39.8827927888383,2.9351809286264867,2.9351144308608403,38.066649633731096,7.337846904680271,7.337786480983957,61.622052103800534,3.6690324288003655,3.668893224338704,61.4790956343325,7.337925207329396,7.337786480983957,83.28567573524447,0.0,0.0,60.443556589267544,0.0,0.0,37.94140976734992,0.0,0.0,0.0,0.0,634.9289231067792,1.0,0,0,0,0
10,2021-11-25 11:34:49.046077,10.376692239042665,9.140620344643139,83.43861031379959,3.669105394021623,3.668893224338704,64.61793853370935,1.4677064557521369,1.4675572315836944,63.72531921632802,1.4677034703973726,1.4675572315836944,62.87766355796695,4.402815195510069,4.402671791670728,53.09322091003069,4.402782471557197,4.402671791670728,52.63355716810509,4.402780934217242,4.402671791670728,52.55801783590888,4.402780681576837,4.402671791670728,52.538615818058155,2.9352232558771294,2.9351144308608403,39.369318350375984,2.9351792113172914,2.9351144308608403,38.99739881682919,2.9351779674368044,2.9351144308608403,39.303500315555766,2.9351789911896518,2.9351144308608403,62.29817929291093,3.669034690099764,3.668893224338704,64.70872238701578,3.669042752132672,3.668893224338704,61.201325607011405,3.6690310216855666,3.668893224338704,61.82923765716903,3.6690331217300023,3.668893224338704,40.43893541681393,2.935182788638937,2.9351144308608403,38.64702493494514,7.337848845738611,7.337786480983957,62.1631267986221,3.669034238418292,3.668893224338704,62.03343182790146,7.337927061300247,7.337786480983957,83.44440010572852,0.0,0.0,61.06656479946507,0.0,0.0,38.52433381000546,0.0,0.0,0.0,0.0,624.1738317380313,1.0,0,0,0,0
