iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J1_SUPPLY,J1_DEMAND,J2_LEVEL,J2_SUPPLY,J2_DEMAND,J3_LEVEL,J3_SUPPLY,J3_DEMAND,J4_LEVEL,J4_SUPPLY,J4_DEMAND,J5_LEVEL,J5_SUPPLY,J5_DEMAND,J6_LEVEL,J6_SUPPLY,J6_DEMAND,J7_LEVEL,J7_SUPPLY,J7_DEMAND,J8_LEVEL,J8_SUPPLY,J8_DEMAND,J9_LEVEL,J9_SUPPLY,J9_DEMAND,J10_LEVEL,J10_SUPPLY,J10_DEMAND,J11_LEVEL,J11_SUPPLY,J11_DEMAND,J12_LEVEL,J12_SUPPLY,J12_DEMAND,J13_LEVEL,J13_SUPPLY,J13_DEMAND,J14_LEVEL,J14_SUPPLY,J14_DEMAND,J15_LEVEL,J15_SUPPLY,J15_DEMAND,J16_LEVEL,J16_SUPPLY,J16_DEMAND,J17_LEVEL,J17_SUPPLY,J17_DEMAND,J18_LEVEL,J18_SUPPLY,J18_DEMAND,J19_LEVEL,J19_SUPPLY,J19_DEMAND,J20_LEVEL,J20_SUPPLY,J20_DEMAND,J21_LEVEL,J21_SUPPLY,J21_DEMAND,J22_LEVEL,J22_SUPPLY,J22_DEMAND,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS,attack1,attack2,attack3,attack4
1,2021-11-27 13:06:27.448647,3.7004988813870705,3.3273647088790272,86.06013512312268,22.04559655208738,22.045375614745698,59.55583327478669,8.81828219049729,8.818149896480099,57.64551590461924,8.81827580146341,8.818149896480099,56.104905985094526,26.45457102423556,26.45445027180393,45.406059146403216,26.454535242068673,26.45445027180393,45.134562132775734,26.454534334050116,26.45445027180393,45.074378007696986,26.454534132765026,26.45445027180393,45.41072902986479,17.6363845847221,17.63629959883899,32.95463214676135,17.636342925453196,17.63629959883899,33.01736096196168,17.636343135248975,17.63629959883899,33.33842111759099,17.636344209030874,17.63629959883899,56.93256458295916,22.045499135271736,22.045375614745698,59.79869323050744,22.04550872100514,22.045375614745698,54.50052912126908,22.045491001357856,22.045375614745698,54.880921233720656,22.045492273574784,22.045375614745698,33.57830344789284,17.636345011314496,17.63629959883899,33.04174972094488,44.09079504159051,44.09075142361261,55.75701804789793,22.04549520367023,22.045375614745698,55.14467073019114,44.09086896454877,44.09075142361261,86.07071489044527,0.0,0.0,54.34752999129967,0.0,0.0,33.010314353672726,0.0,0.0,432.1585958468595,1.0,432.1585958468595,1.0,0,0,0,0
2,2021-11-27 13:06:46.481415,4.309305937728549,3.6251018698714987,86.08456072849773,22.045596633778526,22.045375614745698,59.959321048641236,8.818283539957386,8.818149896480099,58.05937972454845,8.818277185626068,8.818149896480099,56.52816686583605,26.45457243982658,26.45445027180393,45.81018542814465,26.454536593664248,26.45445027180393,45.53007740061579,26.45453565684626,26.45445027180393,45.46823783935358,26.45453545002458,26.45445027180393,45.80096734937708,17.63638588986955,17.63629959883899,33.266995060578815,17.63634397014727,17.63629959883899,33.306232339688165,17.636344101375887,17.63629959883899,33.62222739061277,17.636345158217605,17.63629959883899,57.209968566876526,22.04550006304608,22.045375614745698,60.193669772004654,22.04551004199952,22.045375614745698,55.13257815688418,22.04549311523839,22.045375614745698,55.343788500724614,22.04549382162889,22.045375614745698,34.009942375417786,17.636346454925793,17.63629959883899,33.32281107485385,44.09079598159689,44.09075142361261,56.153178420404515,22.045496528623918,22.045375614745698,55.61375857283569,44.09087053340752,44.09075142361261,86.09493694924852,0.0,0.0,54.99685610193655,0.0,0.0,33.286725563987694,0.0,0.0,427.6491235386735,1.0,427.6491235386735,1.0,0,0,0,0
3,2021-11-27 13:06:52.148088,4.748427513558775,3.8688608355822027,81.56624414438932,22.045581522322077,22.045375614745698,59.20132909618438,8.818281004862254,8.818149896480099,57.65826487632597,8.818275844102196,8.818149896480099,56.44829089328201,26.454572172682333,26.45445027180393,45.91542620941375,26.4545369456408,26.45445027180393,45.715254156913495,26.454536276167733,26.45445027180393,45.669283558613266,26.45453612241961,26.45445027180393,46.03969401768447,17.636386688288074,17.63629959883899,33.5276863939055,17.636344842026357,17.63629959883899,33.57277509669352,17.63634499282499,17.63629959883899,33.79695330459329,17.636345742586357,17.63629959883899,56.89559401948963,22.04549901162412,22.045375614745698,59.38412390364151,22.045507334482924,22.045375614745698,55.67915428717614,22.045494943255804,22.045375614745698,55.66500411149213,22.045494895930705,22.045375614745698,34.264435842412524,17.636347306076186,17.63629959883899,33.60926506985421,44.09079693963889,44.09075142361261,56.17784474689662,22.045496611120157,22.045375614745698,55.83542426435199,44.09087127476581,44.09075142361261,81.57439716362414,0.0,0.0,55.60504701049537,0.0,0.0,33.58435101046539,0.0,0.0,0.0,0.0,750.8843831223287,1.0,0,0,0,0
4,2021-11-27 13:06:59.753329,5.293288678647251,4.196316174127016,86.12783056908752,22.045596778494,22.045375614745698,60.65331777893975,8.818285861021254,8.818149896480099,58.788389988559636,8.818279623792284,8.818149896480099,57.288865460710525,26.454574983974044,26.45445027180393,46.55164398292139,26.454539073463632,26.45445027180393,46.26280255592088,26.454538107436885,26.45445027180393,46.19929688526178,26.45453789504292,26.45445027180393,46.5284441101515,17.636388322906985,17.63629959883899,33.85166730084907,17.636345925576673,17.63629959883899,33.86424199094136,17.636345967632575,17.63629959883899,34.17204486337849,17.63634699707565,17.63629959883899,57.742334482892566,22.0455018435376,22.045375614745698,60.874117059587235,22.045512317747438,22.045375614745698,56.15504104289887,22.045496534853438,22.045375614745698,56.18565845103033,22.045496637253,22.045375614745698,34.8052399676692,17.636349114789194,17.63629959883899,33.87132957799331,44.090797816110545,44.09075142361261,56.8779575782995,22.04549895263925,22.045375614745698,56.44912021264836,44.09087332726466,44.09075142361261,86.13785064244638,0.0,0.0,56.04453259800767,0.0,0.0,33.82829121917041,0.0,0.0,419.65978982062103,1.0,419.6597898206213,1.0,0,0,0,0
5,2021-11-27 13:07:05.876599,5.805136974151488,4.53741584137995,86.15231326700919,22.045596860376094,22.045375614745698,61.03734351226442,8.818287145390782,8.818149896480099,59.203034489760306,8.818281010565922,8.818149896480099,57.73119287674327,26.454576463332863,26.45445027180393,46.98658529792416,26.454540528119722,26.45445027180393,46.6943715194208,26.454539550814186,26.45445027180393,46.63022593688372,26.454539336280046,26.45445027180393,46.95801351678575,17.636389759596792,17.63629959883899,34.1946372066879,17.636347072635473,17.63629959883899,34.198673646593555,17.6363470861353,17.63629959883899,34.502028771234066,17.63634810070293,17.63629959883899,58.05928844838084,22.045502903586392,22.045375614745698,61.249067151397796,22.04551357176359,22.045375614745698,56.68770210765351,22.045498316332075,22.045375614745698,56.68736548523063,22.04549831520625,22.045375614745698,35.25594004815125,17.636350622150292,17.63629959883899,34.20219876426282,44.09079892269863,44.09075142361261,57.292301507617545,22.04550033840763,22.045375614745698,56.92051128705521,44.09087490382654,44.09075142361261,86.16213434391852,0.0,0.0,56.58927297002354,0.0,0.0,34.155780358187776,0.0,0.0,415.13884136539906,1.0,415.13884136540224,1.0,0,0,0,0
6,2021-11-27 13:07:13.033165,6.289154983326362,4.887497844297966,86.17613615123143,22.045596940051446,22.045375614745698,61.403161869159796,8.818288368865957,8.818149896480099,59.5988205635554,8.81828233426777,8.818149896480099,58.15404726905384,26.454577877564383,26.45445027180393,47.40647074176112,26.454541932421627,26.45445027180393,47.11289837868355,26.454540950572326,26.45445027180393,47.04849554129521,26.454540735177797,26.45445027180393,47.375739034852714,17.636391156674854,17.63629959883899,34.54329462710957,17.6363482387161,17.63629959883899,34.543922409980716,17.63634824081571,17.63629959883899,34.842630550924085,17.636349239841557,17.63629959883899,58.38211105457437,22.045503983262787,22.045375614745698,61.60696762166721,22.04551476875749,22.045375614745698,57.18977225268778,22.04549999549975,22.045375614745698,57.16293506201255,22.045499905743082,22.045375614745698,35.686856965467996,17.63635206334683,17.63629959883899,34.54561049147039,44.090800071235094,44.09075142361261,57.694736199083486,22.0455016843457,22.045375614745698,57.37089118710352,44.09087641011679,44.09075142361261,86.18576534474231,0.0,0.0,57.1010244521568,0.0,0.0,34.49690291712342,0.0,0.0,410.73940758088787,1.0,410.73940758088526,1.0,0,0,0,0
7,2021-11-27 13:07:19.967715,6.856394300740182,5.402707277367491,82.32608103916898,9.905229772256517,9.905021323414616,61.379829454133294,3.96214676672259,3.9620083723717188,60.15977271759658,3.962142686257245,3.9620083723717188,59.0777256199819,11.886156073763823,11.886025378772034,48.97640190438131,11.886122290005964,11.886025378772034,48.55299440468072,11.88612087392458,11.886025378772034,48.50750846718603,11.8861207217974,11.886025378772034,48.54088786520292,7.9241121121868465,7.924016657524478,35.35217211074459,7.9240680026827786,7.924016657524478,35.13791717799809,7.924067286109686,7.924016657524478,35.46986378246188,7.924068396301184,7.924016657524478,58.709790213432036,9.905150787850783,9.905021323414616,61.508886701734454,9.905160149395927,9.905021323414616,57.704406530715794,9.90514742535693,9.905021323414616,57.98632250954671,9.905148368221592,9.905021323414616,36.57406526625583,7.924072089290005,7.924016657524478,34.94712366766476,19.81009272452676,19.810042734048196,58.41606028448373,9.905149805474505,9.905021323414616,58.22748587158495,19.810170585423187,19.810042734048196,82.33323036499421,0.0,0.0,57.58534559270645,0.0,0.0,34.847494139578856,0.0,0.0,0.0,0.0,699.4661894984669,1.0,0,0,0,0
8,2021-11-27 13:07:27.843141,7.407487589642929,5.914131966607744,82.46357055103798,9.905230232088565,9.905021323414616,61.81832205262448,3.962148233255907,3.9620083723717188,60.62266274466226,3.962144234387473,3.9620083723717188,59.563695127265866,11.886157699083101,11.886025378772034,49.47599176322766,11.886123960878345,11.886025378772034,49.0619254995145,11.886122576038618,11.886025378772034,49.01717959751834,11.886122426386477,11.886025378772034,49.05120612836589,7.924113818940251,7.924016657524478,35.86254360468917,7.924069709614212,7.924016657524478,35.6483067717098,7.924068993101654,7.924016657524478,35.97226993340912,7.9240700765926215,7.924016657524478,59.17628851487397,9.905152348048842,9.905021323414616,61.94316953504498,9.905161601849734,9.905021323414616,58.265383666774284,9.905149301538335,9.905021323414616,58.50542896984154,9.905150104367017,9.905021323414616,37.083993934825855,7.924073794740415,7.924016657524478,35.46096838664438,19.81009444307435,19.810042734048196,58.91026705415319,9.905151458343209,9.905021323414616,58.738636215292566,19.810172294959475,19.810042734048196,82.47054474850104,0.0,0.0,58.152522908324684,0.0,0.0,35.362690060627656,0.0,0.0,0.0,0.0,690.1618291387098,1.0,0,0,0,0
9,2021-11-27 13:07:35.712711,7.943246734740495,6.421187764170209,82.5994870900437,9.905230686659824,9.905021323414616,62.24731893507301,3.9621496680309134,3.9620083723717188,61.07607171560106,3.9621457508084212,3.9620083723717188,60.04018275527598,11.886159292690344,11.886025378772034,49.96654771157074,11.88612560153692,11.886025378772034,49.56209348729879,11.886124248844544,11.886025378772034,49.5180764798014,11.886124101630184,11.886025378772034,49.552750880401845,7.924115496350749,7.924016657524478,36.367322985891974,7.924071397842891,7.924016657524478,36.15418253765639,7.924070684997179,7.924016657524478,36.47025410895344,7.924071742094815,7.924016657524478,59.63780871654949,9.905153891597704,9.905021323414616,62.36819715737654,9.905163023349598,9.905021323414616,58.81067260224163,9.90515112525074,9.905021323414616,59.01443027883921,9.905151806715883,9.905021323414616,37.58476992964697,7.924075469579814,7.924016657524478,35.97082839556489,19.81009614829513,19.810042734048196,59.396121917898604,9.905153083279062,9.905021323414616,59.23960795977311,19.810173970453555,19.810042734048196,82.60629012616873,0.0,0.0,58.703558728381516,0.0,0.0,35.87409925798357,0.0,0.0,0.0,0.0,680.9637839031315,1.0,0,0,0,0
10,2021-11-27 13:07:40.828095,8.46442326670835,6.923350735483015,82.73383169106899,9.905231135973757,9.905021323414616,62.66706677855431,3.962151071872618,3.9620083723717188,61.520173457406216,3.962147236101451,3.9620083723717188,60.50729302618977,11.88616085493513,11.886025378772034,50.448107374683346,11.886127212107526,11.886025378772034,50.05348609328653,11.886125892301312,11.886025378772034,50.01017833215417,11.886125747459015,11.886025378772034,50.045493346522214,7.924117144322108,7.924016657524478,36.866142106401306,7.924073066137548,7.924016657524478,36.6550587366445,7.92407236017171,7.924016657524478,36.96332866106167,7.924073391176831,7.924016657524478,60.09396590095988,9.90515541721002,9.905021323414616,62.78419892509543,9.905164414662597,9.905021323414616,59.34104158569985,9.905152899063541,9.905021323414616,59.51337504269142,9.905153475430753,9.905021323414616,38.07643734092898,7.924077113955664,7.924016657524478,36.47614545616602,19.810097838322072,19.810042734048196,59.873594454312155,9.90515468018032,9.905021323414616,59.730535145628764,19.81017561235373,19.810042734048196,82.74046746769281,0.0,0.0,59.23926450554208,0.0,0.0,36.38113784032857,0.0,0.0,0.0,0.0,671.8719880856002,1.0,0,0,0,0
